;moda;paese_iso;moda nomi etichette vecchie;
1;oggetti_tempo_libero;ao;oggetti_tempo_libero;
2;oggetti_tempo_libero;sa;oggetti_tempo_libero;
3;oggetti_tempo_libero;ar;oggetti_tempo_libero;
4;oggetti_tempo_libero;au;oggetti_tempo_libero;
5;oggetti_tempo_libero;be;oggetti_tempo_libero;
6;abbigliamento;br;abbigliamento;
7;oggetti_tempo_libero;ca;oggetti_tempo_libero;
8;oggetti_tempo_libero;cl;oggetti_tempo_libero;
9;abbigliamento;co;abbigliamento;
10;oggetti_tecnologici;kp;elettronica;
11;abbigliamento;ec;abbigliamento;
12;oggetti_tempo_libero;eg;oggetti_tempo_libero;
13;oggetti_tempo_libero;fj;oggetti_tempo_libero;
14;oggetti_tempo_libero;ph;oggetti_tempo_libero;
15;oggetti_tempo_libero;fr;oggetti_tempo_libero;
16;oggetti_tempo_libero;de;oggetti_tempo_libero;
17;oggetti_tecnologici;jp;oggetti_tempo_libero;
18;oggetti_tecnologici;in;elettronica;
19;oggetti_tempo_libero;id;elettronica;
20;abbigliamento;ie;oggetti_tempo_libero;
21;oggetti_tempo_libero;it;abbigliamento;
22;oggetti_tempo_libero;ma;oggetti_tempo_libero;
23;oggetti_tempo_libero;mx;oggetti_tempo_libero;
24;abbigliamento;ng;abbigliamento;
25;oggetti_tempo_libero;no;oggetti_tempo_libero;
26;oggetti_tempo_libero;nz;oggetti_tempo_libero;
27;oggetti_tempo_libero;nl;oggetti_tempo_libero;
28;oggetti_tempo_libero;pk;oggetti_tempo_libero;
29;abbigliamento;pg;abbigliamento;
30;oggetti_tempo_libero;pe;oggetti_tempo_libero;
31;oggetti_tecnologici;gb;elettronica;
32;oggetti_tecnologici;ru;elettronica;
33;oggetti_tempo_libero;ws;oggetti_tempo_libero;
34;abbigliamento;sn;abbigliamento;
35;abbigliamento;es;abbigliamento;
36;oggetti_tempo_libero;us;oggetti_tempo_libero;
37;oggetti_tempo_libero;se;oggetti_tempo_libero;
38;oggetti_tecnologici;tz;elettronica;
39;abbigliamento;th;abbigliamento;
40;abbigliamento;to;abbigliamento;
41;abbigliamento;tr;abbigliamento;
42;abbigliamento;ug;abbigliamento;
43;oggetti_tecnologici;ve;elettronica;
